id,category,subject,email_text
1,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
2,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
3,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
4,updates,Weekly Newsletter,Your account settings were recently modified successfully.
5,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
6,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
7,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
8,social,New Friend Request,You have a new notification from your social network account.
9,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
10,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
11,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
12,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
13,updates,Account Security Alert,We wanted to inform you about an important update to your account.
14,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
15,social,New Follower Alert,You have a new notification from your social network account.
16,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
17,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
18,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
19,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
20,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
21,social,You Were Tagged in a Post,You have a new notification from your social network account.
22,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
23,purchases,Receipt for Your Purchase,Thank you for your order. Your purchase has been confirmed.
24,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
25,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
26,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
27,updates,Account Security Alert,Your account settings were recently modified successfully.
28,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
29,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
30,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
31,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
32,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
33,social,New Follower Alert,You have a new notification from your social network account.
34,updates,Account Security Alert,We wanted to inform you about an important update to your account.
35,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
36,updates,Weekly Newsletter,Your account settings were recently modified successfully.
37,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
38,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
39,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
40,updates,Weekly Newsletter,Your account settings were recently modified successfully.
41,social,You Were Tagged in a Post,You have a new notification from your social network account.
42,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
43,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
44,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
45,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
46,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
47,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
48,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
49,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
50,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
51,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
52,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
53,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
54,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
55,personal,Dinner Tonight,Just wanted to check if you are available for a quick discussion.
56,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
57,updates,Account Security Alert,We wanted to inform you about an important update to your account.
58,purchases,Delivery Completed,Thank you for your order. Your purchase has been confirmed.
59,spam,Free Gift Card Inside,Congratulations you have been selected to receive a huge reward. Click now.
60,promotions,Exclusive Deal Just for You,Huge sale on electronics and fashion items. Shop today and save big.
61,personal,Trip Planning,Hope you are doing well. Let's catch up soon.
62,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
63,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
64,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
65,updates,Password Changed,We wanted to inform you about an important update to your account.
66,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
67,updates,Weekly Newsletter,We wanted to inform you about an important update to your account.
68,social,New Friend Request,Your friend interacted with your recent post. Check it out now.
69,updates,Weekly Newsletter,Your account settings were recently modified successfully.
70,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
71,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
72,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
73,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
74,social,Event Invitation,You have a new notification from your social network account.
75,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
76,spam,Earn Money Fast,Act immediately to claim your prize before it expires.
77,personal,Checking In,Hope you are doing well. Let's catch up soon.
78,spam,Investment Opportunity,Congratulations you have been selected to receive a huge reward. Click now.
79,social,New Comment on Your Photo,You have a new notification from your social network account.
80,updates,Password Changed,Your account settings were recently modified successfully.
81,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
82,purchases,Order Confirmation,Your order is on the way and will be delivered soon.
83,updates,Subscription Reminder,Your account settings were recently modified successfully.
84,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
85,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
86,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
87,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
88,spam,Earn Money Fast,Congratulations you have been selected to receive a huge reward. Click now.
89,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
90,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
91,purchases,Delivery Completed,Your order is on the way and will be delivered soon.
92,social,Event Invitation,You have a new notification from your social network account.
93,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
94,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
95,purchases,Invoice for Your Order,Your order is on the way and will be delivered soon.
96,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
97,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
98,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
99,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
100,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
101,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
102,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
103,personal,Checking In,Hope you are doing well. Let's catch up soon.
104,spam,Claim Your Prize Now,Congratulations you have been selected to receive a huge reward. Click now.
105,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
106,social,New Comment on Your Photo,Your friend interacted with your recent post. Check it out now.
107,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
108,personal,Dinner Tonight,Hope you are doing well. Let's catch up soon.
109,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
110,personal,Checking In,Just wanted to check if you are available for a quick discussion.
111,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
112,updates,Policy Update Notice,We wanted to inform you about an important update to your account.
113,updates,Account Security Alert,We wanted to inform you about an important update to your account.
114,social,Someone Liked Your Post,Your friend interacted with your recent post. Check it out now.
115,spam,You Won a Lottery,Congratulations you have been selected to receive a huge reward. Click now.
116,updates,Policy Update Notice,Your account settings were recently modified successfully.
117,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
118,social,You Were Tagged in a Post,You have a new notification from your social network account.
119,purchases,Return Request Approved,Your order is on the way and will be delivered soon.
120,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
121,social,New Follower Alert,You have a new notification from your social network account.
122,promotions,Special Offer for Members,Get amazing discounts on top products. Limited time promotion available now.
123,spam,Claim Your Prize Now,Act immediately to claim your prize before it expires.
124,personal,Call Me When Free,Just wanted to check if you are available for a quick discussion.
125,purchases,Order Confirmation,Thank you for your order. Your purchase has been confirmed.
126,social,You Were Tagged in a Post,You have a new notification from your social network account.
127,personal,Call Me When Free,Hope you are doing well. Let's catch up soon.
128,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
129,personal,Checking In,Hope you are doing well. Let's catch up soon.
130,social,Event Invitation,Your friend interacted with your recent post. Check it out now.
131,updates,Subscription Reminder,We wanted to inform you about an important update to your account.
132,updates,Password Changed,We wanted to inform you about an important update to your account.
133,promotions,Exclusive Deal Just for You,Get amazing discounts on top products. Limited time promotion available now.
134,social,You Were Tagged in a Post,You have a new notification from your social network account.
135,social,New Comment on Your Photo,You have a new notification from your social network account.
136,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
137,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
138,spam,Free Gift Card Inside,Act immediately to claim your prize before it expires.
139,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
140,social,New Follower Alert,You have a new notification from your social network account.
141,personal,Meeting Tomorrow,Hope you are doing well. Let's catch up soon.
142,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
143,promotions,Limited Time Offer,Huge sale on electronics and fashion items. Shop today and save big.
144,spam,Urgent Business Proposal,Act immediately to claim your prize before it expires.
145,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
146,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
147,purchases,Your Package Has Shipped,Thank you for your order. Your purchase has been confirmed.
148,promotions,Mega Sale Today,Get amazing discounts on top products. Limited time promotion available now.
149,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
150,promotions,Special Offer for Members,Huge sale on electronics and fashion items. Shop today and save big.
151,promotions,Limited Time Offer,Get amazing discounts on top products. Limited time promotion available now.
152,personal,Project Discussion,Just wanted to check if you are available for a quick discussion.
153,spam,You Won a Lottery,Act immediately to claim your prize before it expires.
154,promotions,Save Big Today,Get amazing discounts on top products. Limited time promotion available now.
155,purchases,Your Package Has Shipped,Your order is on the way and will be delivered soon.
156,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
157,promotions,Flash Discount Inside,Huge sale on electronics and fashion items. Shop today and save big.
158,social,New Friend Request,You have a new notification from your social network account.
159,updates,Weekly Newsletter,Your account settings were recently modified successfully.
160,promotions,Save Big Today,Huge sale on electronics and fashion items. Shop today and save big.
161,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
162,personal,Trip Planning,Just wanted to check if you are available for a quick discussion.
163,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
164,purchases,Return Request Approved,Thank you for your order. Your purchase has been confirmed.
165,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
166,promotions,Flash Discount Inside,Get amazing discounts on top products. Limited time promotion available now.
167,social,You Were Tagged in a Post,Your friend interacted with your recent post. Check it out now.
168,spam,Investment Opportunity,Act immediately to claim your prize before it expires.
169,spam,Urgent Business Proposal,Congratulations you have been selected to receive a huge reward. Click now.
170,updates,System Maintenance Update,We wanted to inform you about an important update to your account.
171,purchases,Receipt for Your Purchase,Your order is on the way and will be delivered soon.
